pipeline,strategy,epoch,label_type,source_file,run_name,docs,token_accuracy,token_macro_f1,token_weighted_f1,B_precision,B_recall,B_f1,I_precision,I_recall,I_f1,exact_precision,exact_recall,exact_f1,exact_gold,exact_pred,exact_matched,overlap_precision,overlap_recall,overlap_f1,overlap_gold,overlap_pred,overlap_matched
baseline,0,3,interventions,baseline_0interventions_eval.json,baseline_0interventions,187,0.9457475415628006,0.47882831369985396,0.9312972915974761,0.6814516129032258,0.1122923588039867,0.19281232173416998,0.4152671755725191,0.2007380073800738,0.27064676616915423,0.2982791586998088,0.10365448504983389,0.15384615384615385,1505,523,156,0.5315487571701721,0.18471760797342193,0.27416173570019725,1505,523,278
baseline,0,3,outcomes,baseline_0outcomes_eval.json,baseline_0outcomes,190,0.9218256199468755,0.511357335595722,0.9049955107173581,0.5862068965517241,0.08616944243301955,0.15025252525252525,0.596629213483146,0.32818294190358466,0.423444976076555,0.1751207729468599,0.10499637943519188,0.13128112267994566,1381,828,145,0.38768115942028986,0.23244026068066617,0.2906292440018107,1381,828,321
baseline,0,3,participants,baseline_0participants_eval.json,baseline_0participants,189,0.9397105638341503,0.45425140962949234,0.9185594294419381,0.47368421052631576,0.1054172767203514,0.1724550898203593,0.8096330275229358,0.12775968150560985,0.2206939668646452,0.10882352941176471,0.05417276720351391,0.07233626588465299,683,340,37,0.29705882352941176,0.1478770131771596,0.19745845552297164,683,340,101
baseline,A,3,interventions,baseline_Ainterventions_eval.json,baseline_Ainterventions,187,0.9041356704025753,0.5711159924574457,0.9190955892112729,0.4082439299830604,0.48039867109634554,0.4413919413919414,0.22162921348314607,0.5822878228782288,0.321057985757884,0.1703767123287671,0.2644518272425249,0.20723769851601143,1505,2336,398,0.3775684931506849,0.586046511627907,0.45925540223900024,1505,2336,882
baseline,A,3,outcomes,baseline_Aoutcomes_eval.json,baseline_Aoutcomes,190,0.882835372355895,0.6190236391710703,0.8976858650832394,0.3623751387347392,0.4728457639391745,0.4103047439522463,0.3849218999043672,0.7462917181705809,0.5078864353312302,0.11989409984871408,0.22954380883417813,0.15751552795031057,1381,2644,317,0.3490922844175492,0.6683562635771181,0.45863354037267084,1381,2644,923
baseline,A,3,participants,baseline_Aparticipants_eval.json,baseline_Aparticipants,189,0.9357459523856024,0.6393679857631315,0.9363136106871034,0.4036281179138322,0.5212298682284041,0.4549520766773163,0.502996254681648,0.48606587043069127,0.4943861586600405,0.06328182487122884,0.1259150805270864,0.08423114593535748,683,1359,86,0.2693156732891832,0.5358711566617862,0.35847208619000975,683,1359,366
baseline,B,3,interventions,baseline_Binterventions_eval.json,baseline_Binterventions,187,0.9554046361905509,0.6270828787884196,0.9480943359726716,0.7331701346389229,0.39800664451827245,0.5159345391903531,0.6111111111111112,0.28413284132841327,0.3879093198992443,0.4553191489361702,0.2843853820598007,0.3501022494887525,1505,940,428,0.6585106382978724,0.4112956810631229,0.5063394683026585,1505,940,619
baseline,B,3,outcomes,baseline_Boutcomes_eval.json,baseline_Boutcomes,190,0.9320239641700758,0.6430840315675335,0.9234940740965674,0.6163849154746424,0.3432295438088342,0.4409302325581395,0.6906693711967545,0.42088998763906055,0.5230414746543779,0.2657695542472666,0.22881969587255613,0.24591439688715955,1381,1189,316,0.4575273338940286,0.3939174511223751,0.4233463035019455,1381,1189,544
baseline,B,3,participants,baseline_Bparticipants_eval.json,baseline_Bparticipants,189,0.9464875104974317,0.6077358500249481,0.9331900070175694,0.5572916666666666,0.4699853587115666,0.5099285146942018,0.847041847041847,0.2124502352515382,0.33969907407407407,0.16288951841359772,0.1683748169838946,0.1655867530597552,683,706,115,0.35127478753541075,0.363103953147877,0.3570914326853852,683,706,248
crf,,3,interventions,crf_interventions_eval.json,crf_interventions,187,0.9444717058904352,0.47029619503409004,0.9297838359921957,0.6747572815533981,0.09235880398671097,0.1624780829924021,0.3994413407821229,0.211070110701107,0.276195074843071,0.3736654804270463,0.06976744186046512,0.11758118701007839,1505,281,105,0.7829181494661922,0.1461794019933555,0.24636058230683094,1505,281,220
crf,,3,outcomes,crf_outcomes_eval.json,crf_outcomes,190,0.9210694689493378,0.5118957958583645,0.9041974813125119,0.5925925925925926,0.09268645908761766,0.16030056355666875,0.592338479130932,0.32014833127317677,0.4156469408224674,0.2594594594594595,0.06951484431571325,0.1096516276413478,1381,370,96,0.6891891891891891,0.18464880521361332,0.2912621359223301,1381,370,255
crf,,3,participants,crf_participants_eval.json,crf_participants,189,0.9409214303849384,0.4712025052635491,0.9210199825945763,0.4606741573033708,0.12005856515373353,0.19047619047619047,0.8702127659574468,0.14802750633369527,0.2530157748221466,0.172,0.0629575402635432,0.09217577706323687,683,250,43,0.46,0.1683748169838946,0.24651661307609862,683,250,115
decomposed,0,3,interventions,decomposed_0interventions_eval.json,decomposed_0interventions,187,0.9449231554360413,0.4814993503253315,0.9314337307565994,0.6590909090909091,0.09634551495016612,0.1681159420289855,0.39433293978748524,0.24649446494464944,0.3033605812897366,0.2702702702702703,0.09302325581395349,0.1384083044982699,1505,518,140,0.5675675675675675,0.19534883720930232,0.2906574394463668,1505,518,294
decomposed,0,3,outcomes,decomposed_0outcomes_eval.json,decomposed_0outcomes,190,0.922290943637668,0.5009566326276477,0.9029491578513323,0.5821596244131455,0.08979000724112962,0.15558343789209536,0.6413743736578382,0.276885043263288,0.38679041657673213,0.1651006711409396,0.0890658942795076,0.11571025399811855,1381,745,123,0.37718120805369126,0.20347574221578565,0.264346190028222,1381,745,281
decomposed,0,3,participants,decomposed_0participants_eval.json,decomposed_0participants,189,0.9397300939398082,0.44988614536708926,0.9179055128675827,0.4863013698630137,0.10395314787701318,0.1712907117008444,0.8457583547557841,0.11907347086500181,0.20875634517766498,0.13355048859934854,0.060029282576866766,0.08282828282828283,683,307,41,0.2931596091205212,0.13177159590043924,0.18181818181818182,683,307,90
decomposed,0,5,interventions,decomposed_0_5_interventions_eval.json,decomposed_0_5_interventions,187,0.946591555930673,0.5259069529389475,0.9360713096429486,0.6690997566909975,0.18272425249169436,0.2870563674321503,0.405997693194925,0.25977859778597784,0.31683168316831684,0.32863187588152326,0.1548172757475083,0.21047877145438124,1505,709,233,0.5684062059238364,0.26777408637873756,0.3640469738030714,1505,709,403
decomposed,0,5,outcomes,decomposed_0_5_outcomes_eval.json,decomposed_0_5_outcomes,190,0.9297167342032301,0.6061767404803363,0.9204218342818352,0.5884615384615385,0.22157856625633598,0.32193582325092057,0.64,0.45488257107540175,0.5317919075144508,0.23809523809523808,0.18102824040550325,0.20567667626491154,1381,1050,250,0.4723809523809524,0.3591600289645185,0.40806252570958457,1381,1050,496
decomposed,0,5,participants,decomposed_0_5_participants_eval.json,decomposed_0_5_participants,189,0.9445149698259867,0.5474671588978209,0.9291335376603105,0.5463258785942492,0.25036603221083453,0.3433734939759036,0.8230994152046783,0.20376402461093016,0.32666086451987236,0.14792899408284024,0.10980966325036604,0.12605042016806725,683,507,75,0.3629191321499014,0.26939970717423134,0.3092436974789916,683,507,184
decomposed,A,3,interventions,decomposed_Ainterventions_eval.json,decomposed_Ainterventions,187,0.9246079258837615,0.5651018029819046,0.9287471961196552,0.5004878048780488,0.3408637873754153,0.40553359683794465,0.2548136009832036,0.45904059040590406,0.32771338250790305,0.21397379912663755,0.19534883720930232,0.2042375824939215,1505,1374,294,0.47307132459970885,0.4318936877076412,0.4515456755817992,1505,1374,650
decomposed,A,3,outcomes,decomposed_Aoutcomes_eval.json,decomposed_Aoutcomes,190,0.897221629796227,0.6215649913068588,0.9058845472386811,0.3879781420765027,0.4112961622013034,0.3992970123022847,0.4197696737044146,0.6758343634116193,0.5178782855789723,0.1284313725490196,0.18971759594496743,0.15317158725518856,1381,2040,262,0.3990196078431373,0.5894279507603186,0.4758842443729904,1381,2040,814
decomposed,A,3,participants,decomposed_Aparticipants_eval.json,decomposed_Aparticipants,189,0.9430502119016464,0.6382078047487908,0.9400995378554922,0.4396551724137931,0.4480234260614934,0.4437998549673677,0.5748106060606061,0.43937748823742306,0.4980512820512821,0.0786308973172988,0.12445095168374817,0.09637188208616781,683,1081,85,0.3098982423681776,0.4904831625183016,0.3798185941043083,683,1081,335
decomposed,A,5,interventions,decomposed_A_5_interventions_eval.json,decomposed_A_5_interventions,187,0.9109662983100084,0.577683546198419,0.9233984560180928,0.4747550866616428,0.4186046511627907,0.4449152542372881,0.23035613340870548,0.6014760147601476,0.3331289597384018,0.1966743119266055,0.22790697674418606,0.2111418898122499,1505,1744,343,0.4644495412844037,0.5382059800664452,0.4986149584487535,1505,1744,810
decomposed,A,5,outcomes,decomposed_A_5_outcomes_eval.json,decomposed_A_5_outcomes,190,0.910173139189949,0.6487233663484752,0.915324061440738,0.44885945548197204,0.44170890658942796,0.44525547445255476,0.4668127053669222,0.6585290482076638,0.5463402127932316,0.16675779114270092,0.22085445329471398,0.19003115264797507,1381,1829,305,0.44669218151995627,0.5916002896451846,0.5090342679127726,1381,1829,817
decomposed,A,5,participants,decomposed_A_5_participants_eval.json,decomposed_A_5_participants,189,0.9475030759916411,0.6761582378667134,0.9451831939595073,0.47530864197530864,0.5636896046852123,0.5157401205626256,0.6251198465963567,0.4719507781397032,0.5378428541967416,0.10105871029836382,0.15373352855051245,0.12195121951219513,683,1039,105,0.368623676612127,0.5607613469985359,0.4448315911730546,683,1039,383
decomposed,B,3,interventions,decomposed_Binterventions_eval.json,decomposed_Binterventions,187,0.9546195065460185,0.6610093804465919,0.9509140096997836,0.7155655095184771,0.4245847176079734,0.5329441201000834,0.5157068062827225,0.4361623616236162,0.4726109556177529,0.4622467771639042,0.3335548172757475,0.3874951756078734,1505,1086,502,0.6685082872928176,0.48239202657807306,0.5604013894249325,1505,1086,726
decomposed,B,3,outcomes,decomposed_Boutcomes_eval.json,decomposed_Boutcomes,190,0.9337883164976637,0.6431528055153314,0.92559783097064,0.6546310832025117,0.30195510499637945,0.4132804757185332,0.6795630405097861,0.46137206427688504,0.5496042702006259,0.27151730257320317,0.22157856625633598,0.24401913875598083,1381,1127,306,0.5217391304347826,0.42577842143374367,0.4688995215311005,1381,1127,588
decomposed,B,3,participants,decomposed_Bparticipants_eval.json,decomposed_Bparticipants,189,0.9426791398941469,0.5427343015947849,0.9227976567813091,0.6814159292035398,0.33821376281112736,0.4520547945205479,0.9408284023668639,0.11509229098805646,0.20509513060303128,0.1941031941031941,0.11566617862371889,0.14495412844036698,683,407,79,0.3783783783783784,0.22547584187408493,0.28256880733944956,683,407,154
decomposed,B,5,interventions,decomposed_B_5_interventions_eval.json,decomposed_B_5_interventions,187,0.9554635209138909,0.6514218652839768,0.9503364365157935,0.7213483146067415,0.42657807308970097,0.5361169102296451,0.5563063063063063,0.36457564575645757,0.44048149799375835,0.4699714013346044,0.3275747508305648,0.3860610806577917,1505,1049,493,0.6701620591039085,0.467109634551495,0.5505090054815975,1505,1049,703
decomposed,B,5,outcomes,decomposed_B_5_outcomes_eval.json,decomposed_B_5_outcomes,190,0.9283013746437365,0.5874231776757658,0.9142001028155862,0.6693069306930693,0.2447501810282404,0.3584305408271474,0.7066848567530696,0.32014833127317677,0.44066354742662694,0.2648845686512758,0.15785662563359884,0.19782214156079853,1381,823,218,0.4993924665856622,0.2976104272266474,0.3729582577132487,1381,823,411
decomposed,B,5,participants,decomposed_B_5_participants_eval.json,decomposed_B_5_participants,189,0.9444173192976975,0.5670651396561102,0.9278226822048371,0.6236842105263158,0.34699853587115664,0.44590780809031044,0.8842504743833017,0.16865725660513933,0.28328267477203645,0.14534883720930233,0.10980966325036604,0.12510425354462051,683,516,75,0.3313953488372093,0.25036603221083453,0.28523769808173477,683,516,171
joint,0,3,interventions,joint_0interventions_eval.json,joint_0interventions,184,0.9456129508164038,0.42168183919714114,0.9267821542281643,0.6139240506329114,0.06580732700135686,0.11887254901960784,0.4144927536231884,0.10974673829623945,0.17354368932038836,0.28523489932885904,0.05758807588075881,0.09582863585118377,1476,298,85,0.5100671140939598,0.10298102981029811,0.17136414881623452,1476,298,152
joint,0,3,outcomes,joint_0outcomes_eval.json,joint_0outcomes,184,0.9222273171315217,0.49546068093712914,0.9026250081597501,0.6342857142857142,0.08327081770442611,0.14721485411140584,0.6270430906389302,0.2714699260212287,0.37890011223344555,0.15579227696404793,0.087248322147651,0.11185468451242829,1341,751,117,0.33022636484687085,0.1849366144668158,0.23709369024856594,1341,751,248
joint,0,3,participants,joint_0participants_eval.json,joint_0participants,184,0.9374788173607926,0.40265444441651094,0.9120223001343315,0.4270833333333333,0.06146926536731634,0.10747051114023591,0.8807339449541285,0.07150837988826815,0.132276954874268,0.135,0.04047976011994003,0.06228373702422144,667,200,27,0.245,0.0734632683658171,0.1130334486735871,667,200,49
joint,0,5,interventions,joint_0_5interventions_eval.json,joint_0_5interventions,184,0.9465699076935346,0.506663977347605,0.934207032247336,0.7086092715231788,0.1451831750339213,0.240990990990991,0.426027397260274,0.23867996930161167,0.3059517953762912,0.29739776951672864,0.10840108401084012,0.15888778550148958,1476,538,160,0.5408921933085502,0.19715447154471544,0.28897715988083417,1476,538,291
joint,0,5,outcomes,joint_0_5outcomes_eval.json,joint_0_5outcomes,184,0.9275105165573476,0.5936717197647078,0.9169043789424102,0.5767097966728281,0.23405851462865718,0.3329775880469584,0.6329704510108864,0.39273078160180125,0.4847161572052402,0.20683111954459202,0.16256524981357195,0.1820459290187891,1341,1054,218,0.4060721062618596,0.3191648023862789,0.3574112734864301,1341,1054,428
joint,0,5,participants,joint_0_5participants_eval.json,joint_0_5participants,184,0.9411272154548536,0.4876570695987408,0.920651522555413,0.5180722891566265,0.1934032983508246,0.2816593886462882,0.8916666666666667,0.11955307262569832,0.21083743842364533,0.16138328530259366,0.08395802098950525,0.11045364891518737,667,347,56,0.29971181556195964,0.15592203898050974,0.2051282051282051,667,347,104
joint,A,3,interventions,joint_Ainterventions_eval.json,joint_Ainterventions,184,0.9154887457883929,0.5284865153034525,0.9212270814202111,0.3367543296985247,0.35617367706919945,0.34619188921859545,0.2298076923076923,0.3668457405986186,0.2825894176766184,0.1740801757276222,0.21476964769647697,0.19229602669093115,1476,1821,317,0.32894014277869305,0.40582655826558267,0.36336063087655446,1476,1821,599
joint,A,3,outcomes,joint_Aoutcomes_eval.json,joint_Aoutcomes,184,0.8757750353874678,0.5858266176087348,0.8907850024336093,0.26745068285280726,0.5288822205551388,0.35525321239606955,0.3876034812141796,0.587327114827919,0.4670076726342711,0.07920792079207921,0.19090231170768082,0.11196151322982725,1341,3232,256,0.2537128712871287,0.6114839671886652,0.35862672206429036,1341,3232,820
joint,A,3,participants,joint_Aparticipants_eval.json,joint_Aparticipants,184,0.9362826212643792,0.6301194780650227,0.9367989673443061,0.33386454183266934,0.6281859070464768,0.43600416233090533,0.5454545454545454,0.43575418994413406,0.484472049689441,0.055739880557398806,0.12593703148425786,0.07727690892364304,667,1507,84,0.23623092236230922,0.5337331334332833,0.32750689972401104,667,1507,356
joint,A,5,interventions,joint_A_5interventions_eval.json,joint_A_5interventions,184,0.9264937498753962,0.57405736669503,0.9303983579622049,0.42422279792746115,0.4443690637720488,0.4340622929092114,0.2768817204301075,0.3952417498081351,0.325640214985773,0.21461449942462602,0.252710027100271,0.23210952084629746,1476,1738,373,0.4062140391254315,0.47831978319783197,0.4393279402613566,1476,1738,706
joint,A,5,outcomes,joint_A_5outcomes_eval.json,joint_A_5outcomes,184,0.88101836161008,0.6127167459945858,0.8970160169019529,0.29446640316205536,0.5588897224306076,0.38571058762619725,0.4070813038591233,0.6989385654551302,0.5145021901266722,0.10995783327927343,0.25279642058165547,0.15325497287522602,1341,3083,339,0.2961401232565683,0.6808351976137211,0.41274864376130205,1341,3083,913
joint,A,5,participants,joint_A_5participants_eval.json,joint_A_5participants,184,0.9456926972228314,0.6492919923140646,0.9406665056767965,0.43567567567567567,0.6041979010494752,0.5062814070351759,0.6664369400413508,0.3601489757914339,0.46760154738878146,0.08651162790697674,0.13943028485757122,0.10677382319173363,667,1075,93,0.3032558139534884,0.48875562218890556,0.3742824339839265,667,1075,326
joint,B,3,interventions,joint_Binterventions_eval.json,joint_Binterventions,184,0.9448354233537352,0.5716534672632682,0.9392144435192503,0.6666666666666666,0.24423337856173677,0.35749751737835156,0.3822861468584406,0.38756715272448194,0.38490853658536583,0.2830188679245283,0.17276422764227642,0.21455616323096338,1476,901,255,0.5738068812430632,0.3502710027100271,0.43500210349179635,1476,901,517
joint,B,3,outcomes,joint_Boutcomes_eval.json,joint_Boutcomes,184,0.9249386949500588,0.6188419466027036,0.9189691698741509,0.5407725321888412,0.2835708927231808,0.3720472440944882,0.5741239892183289,0.4795754261820521,0.5226077812828601,0.15817490494296577,0.15510812826249068,0.15662650602409636,1341,1315,208,0.4144486692015209,0.4064131245339299,0.41039156626506024,1341,1315,545
joint,B,3,participants,joint_Bparticipants_eval.json,joint_Bparticipants,184,0.9434597978428597,0.5495818935053957,0.9264750368054314,0.6101190476190477,0.3073463268365817,0.4087736789631107,0.8178368121442126,0.16052141527001862,0.2683686176836862,0.12943632567849686,0.09295352323838081,0.10820244328097729,667,479,62,0.3277661795407098,0.2353823088455772,0.27399650959860383,667,479,157
joint,B,5,interventions,joint_B_5interventions_eval.json,joint_B_5interventions,184,0.9492613489104648,0.6014803466501232,0.9438913474089637,0.7225042301184433,0.28968792401628224,0.4135593220338983,0.4290375203915171,0.4036838066001535,0.41597469355476474,0.3595263724434876,0.22628726287262874,0.27775467775467777,1476,929,334,0.6275565123789021,0.39498644986449866,0.4848232848232848,1476,929,583
joint,B,5,outcomes,joint_B_5outcomes_eval.json,joint_B_5outcomes,184,0.9299228453517814,0.5985512424384288,0.9188527974032199,0.6481069042316259,0.218304576144036,0.3265993265993266,0.6612819176654507,0.4081698295271792,0.5047732696897375,0.2077001013171226,0.1528709917971663,0.1761168384879725,1341,987,205,0.42451874366767983,0.3124533929903057,0.3599656357388316,1341,987,419
joint,B,5,participants,joint_B_5participants_eval.json,joint_B_5participants,184,0.9443768815167767,0.5662472035084277,0.9273765659311703,0.6184538653366584,0.37181409295352325,0.46441947565543074,0.8752642706131079,0.15418994413407822,0.2621912602913236,0.12972972972972974,0.10794602698650675,0.11783960720130933,667,555,72,0.2990990990990991,0.24887556221889057,0.27168576104746317,667,555,166
separate,0,5,interventions,separate_0_5_interventions_eval.json,separate_0_5_interventions,187,0.9472196596462991,0.5264135389100134,0.9359422735379634,0.6795454545454546,0.19867109634551494,0.30745501285347043,0.43607954545454547,0.22656826568265684,0.2982030111704711,0.3533026113671275,0.15282392026578073,0.21335807050092764,1505,651,230,0.5867895545314901,0.2538205980066445,0.3543599257884972,1505,651,382
separate,0,5,outcomes,separate_0_5_outcomes_eval.json,separate_0_5_outcomes,190,0.9288636407701107,0.6092982812704293,0.9198120963276937,0.6070110701107011,0.23823316437364228,0.3421736869474779,0.6266261925411969,0.4465389369592089,0.5214723926380368,0.2109090909090909,0.16799420709630702,0.18702136235388955,1381,1100,232,0.4627272727272727,0.36857349746560464,0.41031841999193874,1381,1100,509
separate,0,5,participants,separate_0_5_participants_eval.json,separate_0_5_participants,189,0.9432259828525672,0.5141506258333454,0.925905825173078,0.5185185185185185,0.18448023426061494,0.27213822894168466,0.8561643835616438,0.18096272167933405,0.2987750224081267,0.14874141876430205,0.0951683748169839,0.11607142857142858,683,437,65,0.35469107551487417,0.22693997071742314,0.2767857142857143,683,437,155
separate,A,5,interventions,separate_A_5_interventions_eval.json,separate_A_5_interventions,187,0.931575951478988,0.6225604899971929,0.9369099230340395,0.5471562275017998,0.5049833887043189,0.525224602626123,0.29640591966173363,0.5173431734317343,0.37688172043010754,0.27653471026965004,0.320265780730897,0.2967980295566502,1505,1743,482,0.5008605851979346,0.5800664451827242,0.5375615763546797,1505,1743,873
separate,A,5,outcomes,separate_A_5_outcomes_eval.json,separate_A_5_outcomes,190,0.8890009112588945,0.6403079815725091,0.9030844334767577,0.3742362525458248,0.5322230267921796,0.43946188340807174,0.41251429504982845,0.7802843016069221,0.5397028962274233,0.1505457282649605,0.28964518464880523,0.19811788013868253,1381,2657,400,0.36243884079789235,0.6973207820419985,0.47696879643387813,1381,2657,963
separate,A,5,participants,separate_A_5_participants_eval.json,separate_A_5_participants,189,0.9131691502451028,0.6366828977107489,0.924316095066051,0.3635593220338983,0.6281112737920937,0.4605475040257649,0.39191489361702125,0.6666666666666666,0.4936352673187726,0.05240868184224457,0.14494875549048317,0.07698289269051321,683,1889,99,0.25145579671784013,0.6954612005856515,0.3693623639191291,683,1889,475
separate,B,5,interventions,separate_B_5_interventions_eval.json,separate_B_5_interventions,187,0.945904567491707,0.6383404176779597,0.9449302159436884,0.6882217090069284,0.39601328903654487,0.5027414592998735,0.39145496535796764,0.5003690036900369,0.4392614188532556,0.330327868852459,0.26777408637873756,0.2957798165137615,1505,1220,403,0.5942622950819673,0.48172757475083056,0.5321100917431193,1505,1220,725
separate,B,5,outcomes,separate_B_5_outcomes_eval.json,separate_B_5_outcomes,190,0.9311320937627237,0.6577395149653564,0.9259953638580735,0.6204663212435233,0.34685010861694426,0.444960520204366,0.6182557280118256,0.5169962917181706,0.5631100639515315,0.23564064801178203,0.23171614771904417,0.23366192040890835,1381,1358,320,0.47569955817378495,0.4677769732078204,0.47170500182548375,1381,1358,646
separate,B,5,participants,separate_B_5_participants_eval.json,separate_B_5_participants,189,0.9425619592601996,0.5476036026164434,0.9234482554382767,0.667621776504298,0.3411420204978038,0.45155038759689925,0.8989637305699482,0.12558812884545784,0.2203874245792315,0.15904139433551198,0.10688140556368961,0.12784588441330996,683,459,73,0.3202614379084967,0.21522693997071743,0.2574430823117338,683,459,147
